Title,URL,Genre,Rating,Review_URL,Review_Count,Average_Price,pop_score
LUCKY-ROO 金沢片町店,https://tabelog.com/ishikawa/A1701/A170101/17015308/,"
              金沢駅 1876m (野町駅 1162m) / 焼肉・ホルモン(焼肉)、肉バル
            ",0.0,https://tabelog.com/ishikawa/A1701/A170101/17015308/dtlrvwlst/,2,5500.0,0.0
肉のめぐみ,https://tabelog.com/ishikawa/A1701/A170101/17014753/,"
              金沢駅 2258m (野町駅 781m) / 焼肉・ホルモン(焼肉)、韓国料理、焼肉・ホルモン(ホルモン)
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17014753/dtlrvwlst/,5,4500.0,6.4
すずや,https://tabelog.com/ishikawa/A1701/A170101/17008378/,"
              金沢駅 716m (北鉄金沢駅 569m) / 焼肉・ホルモン(焼肉)、ステーキ、すき焼き
            ",3.53,https://tabelog.com/ishikawa/A1701/A170101/17008378/dtlrvwlst/,123,6500.0,16.3
炭火焼肉 みさも,https://tabelog.com/ishikawa/A1701/A170101/17014399/,"
              金沢駅 2249m (野町駅 783m) / 焼肉・ホルモン(焼肉)
            ",3.51,https://tabelog.com/ishikawa/A1701/A170101/17014399/dtlrvwlst/,49,5500.0,13.6
焼肉ホルモン誠 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17014876/,"
              金沢駅 335m (北鉄金沢駅 302m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17014876/dtlrvwlst/,10,3500.0,7.1
焼肉 ヒーロー,https://tabelog.com/ishikawa/A1701/A170101/17015113/,"
              金沢駅 2006m (野町駅 966m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、韓国料理
            ",0.0, - ,0,5500.0,0.0
焼肉ホルモン 芝生,https://tabelog.com/ishikawa/A1701/A170101/17011811/,"
              金沢駅 303m (北鉄金沢駅 148m) / 焼肉・ホルモン(ホルモン)、焼肉・ホルモン(焼肉)
            ",3.26,https://tabelog.com/ishikawa/A1701/A170101/17011811/dtlrvwlst/,36,5500.0,11.9
焼肉うしまる 金沢木倉町店,https://tabelog.com/ishikawa/A1701/A170101/17014292/,"
              金沢駅 1944m (野町駅 1095m) / 焼肉・ホルモン(焼肉)
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17014292/dtlrvwlst/,4,3500.0,4.3
大将軍 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17014366/,"
              金沢駅 2027m (野町駅 854m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、韓国料理
            ",3.51,https://tabelog.com/ishikawa/A1701/A170101/17014366/dtlrvwlst/,39,6500.0,13.0
焼肉 いちぼ 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17012062/,"
              金沢駅 388m (北鉄金沢駅 253m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.13,https://tabelog.com/ishikawa/A1701/A170101/17012062/dtlrvwlst/,22,5500.0,10.0
牛角 金沢桜田店,https://tabelog.com/ishikawa/A1701/A170101/17011924/," 金沢駅 2620m / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.01,https://tabelog.com/ishikawa/A1701/A170101/17011924/dtlrvwlst/,5,3000.0,4.9
叙々苑 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17009540/,"
              金沢駅 1541m (野町駅 1470m) / 焼肉・ホルモン(焼肉)、日本料理、韓国料理
            ",3.15,https://tabelog.com/ishikawa/A1701/A170101/17009540/dtlrvwlst/,71,9500.0,15.5
